Time,Mon 13/4,Tue 14/4,Wed 15/4,Thu 16/4,Fri 17/4,Sat 18/4,Sun 19/4
06:00,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
06:30,Morning Routine,Morning Routine,Morning Routine,Morning Routine,Morning Routine,Morning Routine,Morning Routine
07:00,Morning Routine,Morning Routine,Morning Routine,Morning Routine,Morning Routine,Morning Routine,Morning Routine
07:30,Plan / Review,Deep Work,Deep Work,Deep Work,Deep Work,Morning Routine,Morning Routine
08:00,Plan / Review,Deep Work,Deep Work,Deep Work,Deep Work,Rest / Recharge,Rest / Recharge
08:30,Deep Work,Deep Work,Deep Work,Deep Work,Deep Work,Rest / Recharge,Rest / Recharge
09:00,Deep Work,Deep Work,Deep Work,Deep Work,Deep Work,Rest / Recharge,Rest / Recharge
09:30,Break,Break,Break,Break,Break,Rest / Recharge,Rest / Recharge
10:00,Deep Work,Deep Work,Deep Work,Deep Work,Deep Work,Exercise,Exercise
10:30,Deep Work,Deep Work,Deep Work,Deep Work,Deep Work,Exercise,Exercise
11:00,Deep Work,Deep Work,Deep Work,Deep Work,Deep Work,Free Time,Free Time
11:30,Admin / Email,Admin / Email,Admin / Email,Admin / Email,Admin / Email,Free Time,Free Time
12:00,Admin / Email,Admin / Email,Admin / Email,Admin / Email,Admin / Email,Free Time,Free Time
12:30,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
13:00,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch,Lunch
13:30,Break,Break,Break,Break,Break,Free Time,Free Time
14:00,Deep Work,Deep Work,Deep Work,Deep Work,Deep Work,Free Time,Free Time
14:30,Deep Work,Deep Work,Deep Work,Deep Work,Deep Work,Free Time,Free Time
15:00,Break,Break,Break,Break,Break,Free Time,Free Time
15:30,Deep Work,Deep Work,Deep Work,Deep Work,Deep Work,Free Time,Free Time
16:00,Creative Work,Creative Work,Creative Work,Creative Work,Plan / Review,Free Time,Free Time
16:30,Creative Work,Creative Work,Creative Work,Creative Work,Plan / Review,Free Time,Free Time
17:00,Creative Work,Creative Work,Creative Work,Creative Work,Creative Work,Free Time,Free Time
17:30,Exercise,Exercise,Exercise,Exercise,Exercise,Free Time,Free Time
18:00,Exercise,Exercise,Exercise,Exercise,Exercise,Exercise,Exercise
18:30,Free Time,Free Time,Free Time,Free Time,Free Time,Free Time,Free Time
19:00,Free Time,Free Time,Free Time,Free Time,Free Time,Free Time,Free Time
19:30,Free Time,Free Time,Free Time,Free Time,Free Time,Free Time,Free Time
20:00,Free Time,Free Time,Free Time,Free Time,Free Time,Free Time,Free Time
20:30,Free Time,Free Time,Free Time,Free Time,Free Time,Free Time,Free Time
21:00,Wind Down,Wind Down,Wind Down,Wind Down,Wind Down,Wind Down,Wind Down
21:30,Wind Down,Wind Down,Wind Down,Wind Down,Wind Down,Wind Down,Wind Down
22:00,Wind Down,Wind Down,Wind Down,Wind Down,Wind Down,Wind Down,Wind Down
22:30,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep
